Logging started at 28-02-21 at 16:43:15
Timestamp, Longitude, Latitude, Altitude, Roll, Pitch, Yaw, Velocity, Groundspeed, Airspeed, Current, Voltage
16:43:15.159239, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.160759, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.161901, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.163383, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.164560, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.165705, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.167052, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.168232, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.169486, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.170814, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.172002, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.173267, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.174495, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.175751, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.176986, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.178987, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.180196, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.181323, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.182684, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.184293, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.185530, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.186852, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.188103, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.189347, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.190483, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.191800, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.195507, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.196991, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.198545, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.200463, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.204961, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.206189, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.208882, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.210338, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.211692, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.213183, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.214527, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.215788, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.218383, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.220040, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.221491, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.222862, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.227559, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.229049, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.230281, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.231617, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.232771, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.233940, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.235292, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.236462, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.237739, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.239725, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.241092, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.242415, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.243716, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.245363, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.246474, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.247598, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.248906, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.250102, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.251450, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.254675, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.255796, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.257057, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.258152, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.259440, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.261015, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.262816, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.264409, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.266326, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.267711, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.268901, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.270284, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.271390, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.272599, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
